id,source_type,source_file,raw_text,name,url,domain,category,subcategory,purpose,department,agent_owner,use_case,data_type,access_type,cost_level,risk_level,legal_notes,setup_steps,example_prompt,tags,priority_score,verified_status,last_checked,notes
EIC-0011,photo_ocr,FB_IMG_1778509507011.jpg,¢ adsb.fi - Community flight tracking data..,Adsb,https://adsb.fi,adsb.fi,Aviation & Maritime,domain-override,Community flight tracking data,Trading Desk,Bull Archer,"Bull Archer tracks adsb.fi for live flight, vessel, or supply-chain movement. Use to confirm physical presence (charter routes, cargo deliveries, anomalies in port traffic).",,free,free,low,,"1. Open https://adsb.fi.
2. Live pull: `intel pull adsb.fi` -- captures positions if a public API exists.
3. Cross-reference with logistics-desk shipment tracker.",,,3,auto-domain,2026-05-12,photo_topic=platforms for finding hard to  access information..
EIC-0012,photo_ocr,FB_IMG_1778509230543.jpg,« dronezon.com - Learn drone systems flight control and sensors,Dronezon,https://dronezon.com,dronezon.com,Aviation & Maritime,domain-override,Learn drone systems flight control and sensors,Trading Desk,Bull Archer,"Bull Archer tracks dronezon.com for live flight, vessel, or supply-chain movement. Use to confirm physical presence (charter routes, cargo deliveries, anomalies in port traffic).",,free,free,low,,"1. Open https://dronezon.com.
2. Live pull: `intel pull dronezon.com` -- captures positions if a public API exists.
3. Cross-reference with logistics-desk shipment tracker.",,,3,auto-domain,2026-05-12,photo_topic=Platforms to decode how different systems operate | e engine sim.parts   See engine internals move in real time
EIC-0013,photo_ocr,FB_IMG_1778509238072.jpg,¢ flightradar24.com - live flights across the globe,Flightradar24,https://flightradar24.com,flightradar24.com,Aviation & Maritime,domain-override,live flights across the globe,Trading Desk,Bull Archer,"Bull Archer tracks flightradar24.com for live flight, vessel, or supply-chain movement. Use to confirm physical presence (charter routes, cargo deliveries, anomalies in port traffic).",,free,free,low,,"1. Open https://flightradar24.com.
2. Live pull: `intel pull flightradar24.com` -- captures positions if a public API exists.
3. Cross-reference with logistics-desk shipment tracker.",,,3,auto-domain,2026-05-12,photo_topic=sites that let you interact with live global data
EIC-0014,photo_ocr,FB_IMG_1778509238072.jpg,¢ globe.adsbexchange.com - live military and civilian flights,Globe,https://globe.adsbexchange.com,globe.adsbexchange.com,Aviation & Maritime,domain-override,Track aircraft globally and flight patterns,Trading Desk,Bull Archer,"Bull Archer tracks globe.adsbexchange.com for live flight, vessel, or supply-chain movement. Use to confirm physical presence (charter routes, cargo deliveries, anomalies in port traffic).",,free,free,low,,"1. Open https://globe.adsbexchange.com.
2. Live pull: `intel pull globe.adsbexchange.com` -- captures positions if a public API exists.
3. Cross-reference with logistics-desk shipment tracker.",,,3,auto-domain,2026-05-12,photo_topic=sites that let you interact with live global data | photo_topic=Explore Hidden and Famous Wonders Worldwide
EIC-0015,photo_ocr,FB_IMG_1778509238072.jpg,¢ marinetraffic.com - Track every ship on Earth right now,Marinetraffic,https://marinetraffic.com,marinetraffic.com,Aviation & Maritime,domain-override,Track every ship on Earth right now,Trading Desk,Bull Archer,"Bull Archer tracks marinetraffic.com for live flight, vessel, or supply-chain movement. Use to confirm physical presence (charter routes, cargo deliveries, anomalies in port traffic).",,free,free,low,,"1. Open https://marinetraffic.com.
2. Live pull: `intel pull marinetraffic.com` -- captures positions if a public API exists.
3. Cross-reference with logistics-desk shipment tracker.",,,3,auto-domain,2026-05-12,photo_topic=sites that let you interact with live global data
EIC-0016,photo_ocr,FB_IMG_1778509238072.jpg,¢ opensky-network.org - live global air traffic data,Opensky Network,https://opensky-network.org,opensky-network.org,Aviation & Maritime,domain-override,live global air traffic data,Trading Desk,Bull Archer,"Bull Archer tracks opensky-network.org for live flight, vessel, or supply-chain movement. Use to confirm physical presence (charter routes, cargo deliveries, anomalies in port traffic).",,free,free,low,,"1. Open https://opensky-network.org.
2. Live pull: `intel pull opensky-network.org` -- captures positions if a public API exists.
3. Cross-reference with logistics-desk shipment tracker.",,,3,auto-domain,2026-05-12,photo_topic=sites that let you interact with live global data
EIC-0017,photo_ocr,FB_IMG_1778509082408.jpg,¢ 3dicons.co - Download open source 3D icons in any style,3Dicons,https://3dicons.co,3dicons.co,Content Creation,,Download open source 3D icons in any style,Content Engine,Listing Writer,"Listing Writer grabs 3dicons.co for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://3dicons.co.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0018,photo_ocr,FB_IMG_1778509082408.jpg,¢ affinity.studio - Pro print and layout design,Affinity,https://affinity.studio,affinity.studio,Content Creation,,Pro print and layout design,Content Engine,Listing Writer,"Listing Writer grabs affinity.studio for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://affinity.studio.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,print and layout,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0019,photo_ocr,FB_IMG_1778509082408.jpg,¢ ambientcg.com - Download PBR materials and textures,Ambientcg,https://ambientcg.com,ambientcg.com,Content Creation,,Download PBR materials and textures,Content Engine,Listing Writer,"Listing Writer grabs ambientcg.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://ambientcg.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0020,spreadsheet,Everlight_Free_Resources_List.xlsx,animaker.com | Video creation | Creates animated explainer videos.,Animaker,https://animaker.com,animaker.com,Content Creation,,Creates animated explainer videos.,Content Engine,Listing Writer,"Listing Writer grabs animaker.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://animaker.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,video creation,4,checked,2026-05-12,sheet_category=Video creation | photo_topic=Essential Tools you'll wish you found earlier
EIC-0021,photo_ocr,FB_IMG_1778509082408.jpg,¢ audacity.sourceforge.net - Record/edit / master audio,Audacity,https://audacity.sourceforge.net,audacity.sourceforge.net,Content Creation,,Record/edit / master audio,Content Engine,Listing Writer,"Listing Writer grabs audacity.sourceforge.net for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://audacity.sourceforge.net.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0022,photo_ocr,FB_IMG_1778509082408.jpg,¢ barcode.tec-it.com - Generate any barcode format,Barcode,https://barcode.tec-it.com,barcode.tec-it.com,Content Creation,,Generate any barcode format,Content Engine,Listing Writer,"Listing Writer grabs barcode.tec-it.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://barcode.tec-it.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0023,photo_ocr,FB_IMG_1778509082408.jpg,« birme.net - Resize hundreds of images at once,Birme,https://birme.net,birme.net,Content Creation,,Resize hundreds of images at once,Content Engine,Listing Writer,"Listing Writer grabs birme.net for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://birme.net.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0024,photo_ocr,FB_IMG_1778509090589.jpg,"- blender.org -free 3D modeling, animation, rendering",Blender,https://blender.org,blender.org,Content Creation,,"free 3D modeling, animation, rendering",Content Engine,Listing Writer,"Listing Writer grabs blender.org for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://blender.org.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,animation,3,auto,2026-05-12,photo_topic=Free Tools that handle tasks you've been avoiding
EIC-0025,photo_ocr,FB_IMG_1778509082408.jpg,¢ brutalistwebsites.com - brutalist design inspiration for web designers,Brutalistwebsites,https://brutalistwebsites.com,brutalistwebsites.com,Content Creation,,brutalist design inspiration for web designers,Content Engine,Listing Writer,"Listing Writer grabs brutalistwebsites.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://brutalistwebsites.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0026,photo_ocr,FB_IMG_1778509082408.jpg,¢ calligraphr.com - Turn your handwriting into a font,Calligraphr,https://calligraphr.com,calligraphr.com,Content Creation,,Turn your handwriting into a font,Content Engine,Listing Writer,"Listing Writer grabs calligraphr.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://calligraphr.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0027,photo_ocr,FB_IMG_1778509082408.jpg,* caniuse.com - Check which browsers support any design feature,Caniuse,https://caniuse.com,caniuse.com,Content Creation,,Check which browsers support any design feature,Content Engine,Listing Writer,"Listing Writer grabs caniuse.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://caniuse.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0028,photo_ocr,FB_IMG_1778509082408.jpg,"¢ clideo.com - Cut, merge ,convert video files",Clideo,https://clideo.com,clideo.com,Content Creation,,"Cut, merge ,convert video files",Content Engine,Listing Writer,"Listing Writer grabs clideo.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://clideo.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0029,photo_ocr,FB_IMG_1778509082408.jpg,"« designresourc.es - directory of 1,000+ free design tools",Designresourc,https://designresourc.es,designresourc.es,Content Creation,,"directory of 1,000+ free design tools",Content Engine,Listing Writer,"Listing Writer grabs designresourc.es for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://designresourc.es.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0030,photo_ocr,FB_IMG_1778509082408.jpg,¢ dofsimulator.net - Simulate camera depth of field before photo shoot,Dofsimulator,https://dofsimulator.net,dofsimulator.net,Content Creation,,Simulate camera depth of field before photo shoot,Content Engine,Listing Writer,"Listing Writer grabs dofsimulator.net for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://dofsimulator.net.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0031,photo_ocr,FB_IMG_1778509082408.jpg,¢ ezgif.com - Create/ edit/ optimize animated GIFs,Ezgif,https://ezgif.com,ezgif.com,Content Creation,,Create/ edit/ optimize animated GIFs,Content Engine,Listing Writer,"Listing Writer grabs ezgif.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://ezgif.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0032,photo_ocr,FB_IMG_1778509090589.jpg,gifcap.dev - Create animated GIFs from a screen recording.,Gifcap,https://gifcap.dev,gifcap.dev,Content Creation,,Create animated GIFs from a screen recording,Content Engine,Listing Writer,"Listing Writer grabs gifcap.dev for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://gifcap.dev.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,recording,3,auto,2026-05-12,photo_topic=Free Tools that handle tasks you've been avoiding
EIC-0033,photo_ocr,FB_IMG_1778509082408.jpg,¢ gimp.org - Free / Open Source Image Editor,Gimp,https://gimp.org,gimp.org,Content Creation,,Free / Open Source Image Editor,Content Engine,Listing Writer,"Listing Writer grabs gimp.org for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://gimp.org.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0034,photo_ocr,FB_IMG_1778509082408.jpg,¢ glyphrstudio.com - Design your own font from scratch,Glyphrstudio,https://glyphrstudio.com,glyphrstudio.com,Content Creation,,Design your own font from scratch,Content Engine,Listing Writer,"Listing Writer grabs glyphrstudio.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://glyphrstudio.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design your own,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0035,photo_ocr,FB_IMG_1778509082408.jpg,¢ humaaans.com - Build custom human character scenes,Humaaans,https://humaaans.com,humaaans.com,Content Creation,,Build custom human character scenes,Content Engine,Listing Writer,"Listing Writer grabs humaaans.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://humaaans.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0036,photo_ocr,FB_IMG_1778509082408.jpg,¢ inkscape.org - Design logos and vectors,Inkscape,https://inkscape.org,inkscape.org,Content Creation,,vector graphics editor for illustrations,Content Engine,Listing Writer,"Listing Writer grabs inkscape.org for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://inkscape.org.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using | photo_topic=Must know essential free PC tools
EIC-0037,photo_ocr,FB_IMG_1778509082408.jpg,« libgdx.com - Cross-platform Java game development framework,Libgdx,https://libgdx.com,libgdx.com,Content Creation,,Cross-platform Java game development framework,Content Engine,Listing Writer,"Listing Writer grabs libgdx.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://libgdx.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0038,photo_ocr,FB_IMG_1778509090589.jpg,- lmms.io - Make beats and full music tracks,Lmms,https://lmms.io,lmms.io,Content Creation,,Make beats and full music tracks,Content Engine,Listing Writer,"Listing Writer grabs lmms.io for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://lmms.io.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,music,3,auto,2026-05-12,photo_topic=Free Tools that handle tasks you've been avoiding
EIC-0039,spreadsheet,Everlight_Free_Resources_List.xlsx,magiceraser.io | AI image cleanup | Removes unwanted objects from photos.,Magiceraser,https://magiceraser.io,magiceraser.io,Content Creation,,Removes unwanted objects from photos.,Content Engine,Listing Writer,"Listing Writer grabs magiceraser.io for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://magiceraser.io.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,image cleanup,4,checked,2026-05-12,sheet_category=AI image cleanup | photo_topic=Essential Tools you'll wish you found earlier
EIC-0040,spreadsheet,Everlight_Free_Resources_List.xlsx,mixxx.org | DJ software | Free open-source professional DJ software.,Mixxx,https://mixxx.org,mixxx.org,Content Creation,,"Full professional DJ software(free,open source)",Content Engine,Listing Writer,"Listing Writer grabs mixxx.org for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://mixxx.org.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,dj software,4,checked,2026-05-12,sheet_category=DJ software | photo_topic=Essential Tools you'll wish you found earlier
EIC-0041,photo_ocr,FB_IMG_1778509507011.jpg,¢ musicbrainz.org - Open encyclopedia of all music metadata,Musicbrainz,https://musicbrainz.org,musicbrainz.org,Content Creation,,Open encyclopedia of all music metadata,Content Engine,Listing Writer,"Listing Writer grabs musicbrainz.org for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://musicbrainz.org.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,music,3,auto,2026-05-12,photo_topic=platforms for finding hard to  access information..
EIC-0042,photo_ocr,FB_IMG_1778509082408.jpg,* opengameart.org - Massive free game asset library,Opengameart,https://opengameart.org,opengameart.org,Content Creation,,Massive free game asset library,Content Engine,Listing Writer,"Listing Writer grabs opengameart.org for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://opengameart.org.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
EIC-0043,photo_ocr,FB_IMG_1778509082408.jpg,¢ patternpad.com - create unlimited unique pattern designs,Patternpad,https://patternpad.com,patternpad.com,Content Creation,,create unlimited unique pattern designs,Content Engine,Listing Writer,"Listing Writer grabs patternpad.com for design, video, audio, image, or copy work feeding the Content Engine. Output goes through `02_CONTENT_FACTORY/` and the branded mailer.",,free,free,low,,"1. Open https://patternpad.com.
2. Free tier usually sufficient -- avoid paid until first $10k revenue (Operator Truth doctrine).
3. Save assets to `02_CONTENT_FACTORY/01_Queue/`.",,design tools,3,auto,2026-05-12,photo_topic=Free design tools you should be using
