id,domain,category,purpose,raw_text,source_file
EIC-0123,jobs-apis-848,Decision Intelligence,"Job boards, resumes, hiring APIs","jobs-apis-848 | Jobs | Job boards, resumes, hiring APIs | 848",API_Mega_List_Repository_Index.xlsx
EIC-0124,jobscan.co,Decision Intelligence,Matches resumes against job descriptions.,jobscan.co | Career tools | Matches resumes against job descriptions.,Everlight_Free_Resources_List.xlsx
EIC-0128,languagetool.org,Decision Intelligence,Grammar and style check in 30+ languages,¢ languagetool.org - Grammar and style check in 30+ languages,FB_IMG_1778509090589.jpg
EIC-0129,lead-generation-apis-3452,Decision Intelligence,Lead scraping and prospecting,lead-generation-apis-3452 | Lead Generation | Lead scraping and prospecting | 3452,API_Mega_List_Repository_Index.xlsx
EIC-0130,lens.org,Decision Intelligence,Free patent and scholarly literature database,¢ lens.org - Free patent and scholarly literature database,FB_IMG_1778509507011.jpg
EIC-0131,lightpollutionmap.info,Decision Intelligence,Explore global night sky visibility and darkness,¢ lightpollutionmap.info - Explore global night sky visibility and darkness,FB_IMG_1778509392320.jpg
EIC-0132,limesurvey.org,Decision Intelligence,free/ unlimited surveys with advanced logic,- limesurvey.org - free/ unlimited surveys with advanced logic,FB_IMG_1778509090589.jpg
EIC-0136,losslesscut.app,Decision Intelligence,Trims videos with zero quality loss,losslesscut.app | Video editing | Cuts videos with no quality loss.,Everlight_Free_Resources_List.xlsx
EIC-0138,magicslides.app,Decision Intelligence,Builds slide decks from any topic,magicslides.app | Presentations | Creates slide decks from topics.,Everlight_Free_Resources_List.xlsx
EIC-0140,mcp-servers-apis-131,Decision Intelligence,Model Context Protocol servers,mcp-servers-apis-131 | MCP Servers | Model Context Protocol servers | 131,API_Mega_List_Repository_Index.xlsx
EIC-0145,nakarte.me,Decision Intelligence,remote landscapes using detailed topographic world maps,- nakarte.me - remote landscapes using detailed topographic world maps,FB_IMG_1778509392320.jpg
EIC-0146,naturettl.com,Decision Intelligence,unique natural wonders through photography stories,¢ naturettl.com - unique natural wonders through photography stories,FB_IMG_1778509392320.jpg
EIC-0148,oddee.com,Decision Intelligence,bizarre places and unusual global attractions,« oddee.com - bizarre places and unusual global attractions.,FB_IMG_1778509392320.jpg
EIC-0149,odditycentral.com,Decision Intelligence,weird places and unusual global curiosities,« odditycentral.com - weird places and unusual global curiosities,FB_IMG_1778509392320.jpg
EIC-0150,oldmapsonline.org,Decision Intelligence,Search engine specifically for rare historical maps,"¢ oldmapsonline.org - Search engine specifically for rare historical maps,",FB_IMG_1778509507011.jpg
EIC-0152,omnivore.app,Decision Intelligence,"Save articles ,newsletters to read later","¢ omnivore.app - Save articles ,newsletters to read later",FB_IMG_1778509090589.jpg
EIC-0153,openalex.org,Decision Intelligence,Open catalog of every scholarly work published,¢ openalex.org - Open catalog of every scholarly work published,FB_IMG_1778509507011.jpg
EIC-0155,openfoodfacts.org,Decision Intelligence,Nutrient data on 3 million food products,¢ openfoodfacts.org - Nutrient data on 3 million food products,FB_IMG_1778509507011.jpg
EIC-0157,openverse.org,Decision Intelligence,800 million+ openly licensed media files,* openverse.org - 800 million+ openly licensed media files,FB_IMG_1778509507011.jpg
EIC-0158,other-apis-1297,Decision Intelligence,Miscellaneous APIs,other-apis-1297 | Other APIs | Miscellaneous APIs | 1297,API_Mega_List_Repository_Index.xlsx
EIC-0159,ourworldindata.org,Decision Intelligence,Data visualizations on every global issue,¢ ourworldindata.org - Data visualizations on every global issue,FB_IMG_1778509507011.jpg
EIC-0163,perchance.org,Decision Intelligence,Generate unlimited Al images,« perchance.org - Generate unlimited Al images,FB_IMG_1778509090589.jpg
EIC-0164,picofme.io,Decision Intelligence,Generates professional profile photos.,picofme.io | Profile photos | Generates professional profile photos.,Everlight_Free_Resources_List.xlsx
EIC-0168,qrbtf.com,Decision Intelligence,Generates artistic/styled QR codes,- qrbtf.com - Generates artistic/styled QR codes,FB_IMG_1778509090589.jpg
EIC-0173,repec.org,Decision Intelligence,"Massive database of economics papers, authors and institutions","* repec.org - Massive database of economics papers, authors and institutions",FB_IMG_1778509507011.jpg
EIC-0175,roadsideamerica.com,Decision Intelligence,Database of bizarre and obscure roadside attractions,¢ roadsideamerica.com - Database of bizarre and obscure roadside attractions.,FB_IMG_1778509507011.jpg
EIC-0176,roadtrippers.com,Decision Intelligence,unique roadside attractions and hidden stops,- roadtrippers.com - unique roadside attractions and hidden stops,FB_IMG_1778509392320.jpg
EIC-0179,rxresu.me,Decision Intelligence,free/ open-source resume builder,¢ rxresu.me - free/ open-source resume builder,FB_IMG_1778509090589.jpg
EIC-0183,seatemperature.org,Decision Intelligence,Explore ocean temperatures across global regions,« seatemperature.org - Explore ocean temperatures across global regions,FB_IMG_1778509392320.jpg
EIC-0184,semanticscholar.org,Decision Intelligence,220 million academic papers ...free,¢ semanticscholar.org - 220 million academic papers ...free,FB_IMG_1778509507011.jpg
EIC-0185,seo-tools-apis-710,Decision Intelligence,Search engine optimization APIs,seo-tools-apis-710 | SEO Tools | Search engine optimization APIs | 710,API_Mega_List_Repository_Index.xlsx
EIC-0191,squoosh.app,Decision Intelligence,Compress images to any format,¢ squoosh.app - Compress images to any format,FB_IMG_1778509090589.jpg
EIC-0192,standardebooks.org,Decision Intelligence,Professionally formatted public domain ebooks,¢ standardebooks.org - Professionally formatted public domain ebooks,FB_IMG_1778509507011.jpg
EIC-0194,strangesounds.org,Decision Intelligence,unusual natural events and rare phenomena,« strangesounds.org - unusual natural events and rare phenomena,FB_IMG_1778509392320.jpg
EIC-0195,supabase.com,Decision Intelligence,Open-source Firebase alternative.,supabase.com | Backend/database | Open-source Firebase alternative.,Everlight_Free_Resources_List.xlsx
EIC-0197,theculturetrip.com,Decision Intelligence,unique cultural destinations worldwide with stories,« theculturetrip.com - unique cultural destinations worldwide with stories,FB_IMG_1778509392320.jpg
EIC-0199,thetravelbible.com,Decision Intelligence,hidden gems and underrated travel destinations,« thetravelbible.com - hidden gems and underrated travel destinations,FB_IMG_1778509392320.jpg
EIC-0203,tldrthis.com,Decision Intelligence,Summarizes any paragraph/article to key points,tldrthis.com | Summarization | Summarizes articles and paragraphs.,Everlight_Free_Resources_List.xlsx
EIC-0206,touropia.com,Decision Intelligence,lesser known attractions and cultural landmarks,« touropia.com - lesser known attractions and cultural landmarks,FB_IMG_1778509392320.jpg
EIC-0209,travel-apis-397,Decision Intelligence,"Flights, hotels, travel services","travel-apis-397 | Travel | Flights, hotels, travel services | 397",API_Mega_List_Repository_Index.xlsx
EIC-0211,ttsmaker.com,Decision Intelligence,Unlimited text to speech,¢ ttsmaker.com - Unlimited text to speech,FB_IMG_1778509090589.jpg
EIC-0213,twistedsifter.com,Decision Intelligence,strange natural phenomena and unusual places,¢ twistedsifter.com - strange natural phenomena and unusual places,FB_IMG_1778509392320.jpg
EIC-0216,unusualplaces.org,Decision Intelligence,strange destinations and lesser known travel wonders,+ unusualplaces.org - strange destinations and lesser known travel wonders,FB_IMG_1778509392320.jpg
EIC-0218,videos-apis-979,Decision Intelligence,"Video editing, upload, media APIs","videos-apis-979 | Video | Video editing, upload, media APIs | 979",API_Mega_List_Repository_Index.xlsx
EIC-0219,vintag.es,Decision Intelligence,historical places through rare old photography,« vintag.es - historical places through rare old photography,FB_IMG_1778509392320.jpg
EIC-0221,volcanodiscovery.com,Decision Intelligence,active volcanoes and eruptions worldwide,« volcanodiscovery.com - active volcanoes and eruptions worldwide.,FB_IMG_1778509392320.jpg
EIC-0224,whisper-web.vercel.app,Decision Intelligence,Local Whisper audio transcription.,whisper-web.vercel.app | Speech-to-text | Local Whisper audio transcription.,Everlight_Free_Resources_List.xlsx
EIC-0225,wide.video,Decision Intelligence,Free browser video background remover/editor,wide.video | Video editing | Browser-based background remover/editor.,Everlight_Free_Resources_List.xlsx
EIC-0227,wikiloc.com,Decision Intelligence,hidden trails and outdoor exploration routes,¢ wikiloc.com - hidden trails and outdoor exploration routes,FB_IMG_1778509392320.jpg
EIC-0231,zerogpt.com,Decision Intelligence,Detect Al written text,¢ zerogpt.com - Detect Al written text,FB_IMG_1778509090589.jpg
EIC-0232,zotero.org,Decision Intelligence,Collect/ organise /cite research papers,- zotero.org - Collect/ organise /cite research papers,FB_IMG_1778509090589.jpg
